code_unite;nb_projets_2010_2020
SN-BAKEL;6
SN-GOUDIRY;2
SN-KEBEMER;1
SN-KEDOUGOU;1
SN-KOUMPENTOUM;1
SN-LOUGA;6
SN-PODOR;4
SN-RANEROU;2
SN-SAINT-LOUIS;5
SN-SARAYA;1
SN-TAMBACOUNDA;1
MR-ALEG;1
MR-BOGHE;9
MR-BOUMDEID;3
MR-GHABOU;5
MR-KAEDI;8
MR-KANKOSSA;3
MR-KEUR-MACENE;6
MR-MBAGNE;3
MR-MAGHAMA;6
MR-MEDERDRA;5
MR-MONGUEL;3
MR-RKIZ;6
MR-ROSSO;4
MR-SELIBABY;8
ML-BAFOULABE;5
ML-DIEMA;1
ML-KENIEBA;2
ML-KITA;5
ML-NIORO;1
ML-YELIMANE;2
ML-BANAMBA;1
ML-KATI;1
ML-KOLOKANI;1
ML-KOULIKORO;1
GN-DALABA;1
GN-KANKAN;4
GN-KOUBIA;4
GN-KOUROUSSA;2
GN-MALI;3
GN-MAMOU;8
GN-MANDIANA;1
GN-PITA;3
GN-TOUGUE;6
