id_projet;intitule;organisation;co_porteurs;thematiques;odd;etat;annee_debut;annee_fin;zones;beneficiaires_par_zone;partenaires;bailleurs;budget_eur;resume
P001;Appui à l’entrepreneuriat des jeunes – Boghé;grdr;;dev_eco;1 8;termine;2019;2022;MR-BOGHE;MR-BOGHE:15000;Commune de Boghé | Agence régionale de développement de Brakna | Réseau des jeunes du fleuve | Université partenaire (recherche);Agence bilatérale A | Agence de l’eau D | Fonds climat E;120000;Projet fictif de démonstration porté par Grdr sur Boghé. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P002;Formation professionnelle des jeunes ruraux – Tougué;grdr;;education_formation;4 8;termine;2021;2025;GN-TOUGUE;GN-TOUGUE:800;Association de ressortissants en France;Agence de l’eau D;2500000;Projet fictif de démonstration porté par Grdr sur Tougué. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P003;Appui à l’entrepreneuriat des jeunes (Saint-Louis);grdr;;dev_eco;1 8;termine;2022;2025;SN-PODOR MR-RKIZ MR-KAEDI MR-MEDERDRA;SN-PODOR:625 MR-RKIZ:625 MR-KAEDI:625 MR-MEDERDRA:625;Service régional de l’hydraulique | Agence régionale de développement de Saint-Louis | Commune de Méderdra | Association de ressortissants en France;Union européenne (fictif) | Fondation B;1200000;Projet fictif de démonstration porté par Grdr sur Podor, Rkiz, Kaédi, Méderdra. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P004;Cadres de concertation intercommunaux (Gorgol);grdr;;cohesion_gouvernance education_formation;4 5 8 16;en_cours;2023;2027;SN-MATAM MR-KAEDI MR-MAGHAMA MR-MBOUT;SN-MATAM:200 MR-KAEDI:200 MR-MAGHAMA:200 MR-MBOUT:200;Réseau des jeunes du fleuve | Service régional de l’hydraulique | Université partenaire (recherche);Fonds climat E | Fondation B;1200000;Projet fictif de démonstration porté par Grdr sur Matam, Kaédi, Maghama, Mbout. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Cohésion sociale et gouvernance.
P005;Renforcement de la planification locale (Assaba);grdr;;dev_local secu_alim;2 11 16;termine;2020;2022;MR-MBOUT MR-KIFFA MR-BOUMDEID;MR-MBOUT:500 MR-KIFFA:500 MR-BOUMDEID:500;Fédération des éleveurs de Assaba | Université partenaire (recherche) | Réseau des jeunes du fleuve;Union européenne (fictif) | Programme multilatéral F;250000;Projet fictif de démonstration porté par Grdr sur Mbout, Kiffa, Boumdeid. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P006;Insertion socio-professionnelle (Louga);grdr;;education_formation secu_alim;2 4 8;termine;2019;2021;SN-SAINT-LOUIS SN-DAGANA SN-LOUGA SN-KEBEMER;SN-SAINT-LOUIS:200 SN-DAGANA:200 SN-LOUGA:200 SN-KEBEMER:200;Fédération des éleveurs de Louga | Association de ressortissants en France | Association des femmes de Kébémer | Commune de Saint-Louis;Fonds climat E | Coopération décentralisée C;350000;Projet fictif de démonstration porté par Grdr sur Saint-Louis, Dagana, Louga, Kébémer. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P007;Structuration des filières locales – Goudiry;grdr;gret partenariat;dev_eco education_formation;1 4 8;termine;2023;2024;SN-GOUDIRY;SN-GOUDIRY:1500;Service régional de l’hydraulique | Université partenaire (recherche);Fondation B | Coopération décentralisée C | Agence bilatérale A;1200000;Projet fictif de démonstration porté par Grdr sur Goudiry. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P008;Accès au financement des petites entreprises rurales (Labé);grdr;ados;dev_eco eau_assainissement;1 6 8;termine;2019;2022;GN-LABE GN-TOUGUE;GN-LABE:3000 GN-TOUGUE:3000;Association de ressortissants en France;Fonds climat E | Agence bilatérale A;1800000;Projet fictif de démonstration porté par Grdr sur Labé, Tougué. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P009;Cadres de concertation intercommunaux – Boutilimit;grdr;;cohesion_gouvernance;5 16;en_cours;2023;2026;MR-BOUTILIMIT;MR-BOUTILIMIT:800;Association de ressortissants en France | Réseau des jeunes du fleuve;Fonds climat E | Agence bilatérale A;480000;Projet fictif de démonstration porté par Grdr sur Boutilimit. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Cohésion sociale et gouvernance.
P010;Insertion socio-professionnelle – Mbagne;grdr;;education_formation;4 8;termine;2022;2025;MR-MBAGNE;MR-MBAGNE:2500;Agence régionale de développement de Brakna | Association de ressortissants en France | Association des femmes de Mbagne;Coopération décentralisée C;900000;Projet fictif de démonstration porté par Grdr sur Mbagne. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P011;Structuration des filières locales (Kayes);grdr;avsf;dev_eco;1 8;en_cours;2024;2026;ML-KITA ML-BAFOULABE;ML-KITA:750 ML-BAFOULABE:750;Association de ressortissants en France | Union des producteurs de Kayes;Agence bilatérale A;1800000;Projet fictif de démonstration porté par Grdr sur Kita, Bafoulabé. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P012;Structuration des filières locales – Kéniéba;grdr;;dev_eco;1 8;termine;2020;2022;ML-KENIEBA;ML-KENIEBA:15000;Université partenaire (recherche);Fonds climat E | Agence de l’eau D;1800000;Projet fictif de démonstration porté par Grdr sur Kéniéba. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P013;Alphabétisation fonctionnelle des femmes – Linguère;grdr;gret;education_formation migration;4 8 10;en_cours;2025;2027;SN-LINGUERE;SN-LINGUERE:25000;Agence régionale de développement de Louga | Commune de Linguère | Association de ressortissants en France | Fédération des éleveurs de Louga;Agence bilatérale A | Programme multilatéral F;1800000;Projet fictif de démonstration porté par Grdr sur Linguère. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P014;Accès au financement des petites entreprises rurales – Bakel;grdr;;dev_eco risques_naturels;1 8 11 13;termine;2023;2025;SN-BAKEL;SN-BAKEL:4000;Union des producteurs de Tambacounda | Fédération des éleveurs de Tambacounda | Commune de Bakel | Association des femmes de Bakel;Fondation B | Agence bilatérale A;900000;Projet fictif de démonstration porté par Grdr sur Bakel. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P015;Mobilisation de la diaspora pour le développement local (Matam);grdr;;migration;8 10;en_cours;2024;2027;SN-MATAM SN-TAMBACOUNDA SN-KANEL SN-RANEROU;SN-MATAM:1000 SN-TAMBACOUNDA:1000 SN-KANEL:1000 SN-RANEROU:1000;Union des producteurs de Matam | Fédération des éleveurs de Matam;Coopération décentralisée C | Fondation B | Programme multilatéral F;650000;Projet fictif de démonstration porté par Grdr sur Matam, Tambacounda, Kanel, Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Migration et développement.
P016;Alphabétisation fonctionnelle des femmes (Assaba);grdr;;education_formation dev_local;4 8 11 16;termine;2022;2025;MR-KIFFA MR-GUEROU MR-BOUMDEID MR-BARKEOL;MR-KIFFA:625 MR-GUEROU:625 MR-BOUMDEID:625 MR-BARKEOL:625;Service régional de l’hydraulique | Commune de Kiffa | Fédération des éleveurs de Assaba;Fondation B;900000;Projet fictif de démonstration porté par Grdr sur Kiffa, Guérou, Boumdeid, Barkéol. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P017;Alphabétisation fonctionnelle des femmes (Mamou);grdr;;education_formation;4 8;en_cours;2023;2027;GN-PITA GN-MAMOU GN-DALABA GN-LELOUMA;GN-PITA:1000 GN-MAMOU:1000 GN-DALABA:1000 GN-LELOUMA:1000;Service régional de l’hydraulique;Agence de l’eau D;180000;Projet fictif de démonstration porté par Grdr sur Pita, Mamou, Dalaba, Lélouma. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P018;Accès au financement des petites entreprises rurales – Salemata;grdr;;dev_eco risques_naturels;1 8 11 13;termine;2022;2025;SN-SALEMATA;SN-SALEMATA:25000;Service régional de l’hydraulique | Association de ressortissants en France;Programme multilatéral F | Union européenne (fictif) | Fondation B;1800000;Projet fictif de démonstration porté par Grdr sur Salemata. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P019;Appui à la maîtrise d’ouvrage communale (Guidimakha);grdr;;dev_local;11 16;termine;2019;2022;MR-GHABOU MR-SELIBABY;MR-GHABOU:4500 MR-SELIBABY:4500;Association de ressortissants en France | Fédération des éleveurs de Guidimakha | Service régional de l’hydraulique | Union des producteurs de Guidimakha;Union européenne (fictif);350000;Projet fictif de démonstration porté par Grdr sur Ghabou, Sélibaby. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P020;Dialogue territorial et prévention des conflits (Koulikoro);grdr;;cohesion_gouvernance;5 16;en_cours;2025;2027;ML-BANAMBA ML-DIEMA ML-NARA ML-KOLOKANI;ML-BANAMBA:1500 ML-DIEMA:1500 ML-NARA:1500 ML-KOLOKANI:1500;Service régional de l’hydraulique | Commune de Kolokani;Union européenne (fictif) | Programme multilatéral F;1200000;Projet fictif de démonstration porté par Grdr sur Banamba, Diéma, Nara, Kolokani. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Cohésion sociale et gouvernance.
P021;Insertion socio-professionnelle (Tambacounda);grdr;;education_formation dev_local;4 8 11 16;termine;2021;2023;SN-BAKEL SN-SARAYA;SN-BAKEL:7500 SN-SARAYA:7500;Service régional de l’hydraulique;Union européenne (fictif);2500000;Projet fictif de démonstration porté par Grdr sur Bakel, Saraya. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P022;Cadres de concertation intercommunaux – Dagana;grdr;;cohesion_gouvernance grn;5 13 15 16;termine;2019;2021;SN-DAGANA;SN-DAGANA:2500;Union des producteurs de Saint-Louis | Commune de Dagana | Fédération des éleveurs de Saint-Louis;Fonds climat E | Coopération décentralisée C | Agence de l’eau D;1800000;Projet fictif de démonstration porté par Grdr sur Dagana. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Cohésion sociale et gouvernance.
P023;Accès à l’eau potable et à l’assainissement (Trarza);gret;ados;eau_assainissement;6;en_cours;2024;2027;MR-ROSSO SN-LINGUERE SN-DAGANA;MR-ROSSO:500 SN-LINGUERE:500 SN-DAGANA:500;Commune de Rosso | Réseau des jeunes du fleuve | Fédération des éleveurs de Trarza;Fonds climat E;1800000;Projet fictif de démonstration porté par Gret sur Rosso, Linguère, Dagana. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P024;Accès à l’eau potable et à l’assainissement (Saint-Louis);gret;;eau_assainissement;6;termine;2020;2022;SN-SAINT-LOUIS SN-PODOR SN-DAGANA MR-KEUR-MACENE;SN-SAINT-LOUIS:1500 SN-PODOR:1500 SN-DAGANA:1500 MR-KEUR-MACENE:1500;Agence régionale de développement de Saint-Louis | Union des producteurs de Saint-Louis;Fondation B | Fonds climat E;2500000;Projet fictif de démonstration porté par Gret sur Saint-Louis, Podor, Dagana, Keur Macène. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P025;Appui aux initiatives de développement local – Mbagne;gret;;dev_local secu_alim;2 11 16;termine;2024;2025;MR-MBAGNE;MR-MBAGNE:25000;Agence régionale de développement de Brakna | Réseau des jeunes du fleuve | Commune de Mbagne;Coopération décentralisée C | Agence bilatérale A;480000;Projet fictif de démonstration porté par Gret sur Mbagne. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P026;Gestion concertée des services d’eau – Barkéol;gret;;eau_assainissement;6;termine;2020;2023;MR-BARKEOL;MR-BARKEOL:15000;Fédération des éleveurs de Assaba | Commune de Barkéol | Agence régionale de développement de Assaba | Réseau des jeunes du fleuve;Fonds climat E | Coopération décentralisée C;480000;Projet fictif de démonstration porté par Gret sur Barkéol. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P027;Renforcement de la planification locale (Trarza);gret;;dev_local education_formation;4 8 11 16;termine;2019;2022;MR-RKIZ MR-BOGHE;MR-RKIZ:3000 MR-BOGHE:3000;Agence régionale de développement de Trarza | Fédération des éleveurs de Trarza | Association des femmes de Boghé;Agence bilatérale A | Fondation B | Coopération décentralisée C;120000;Projet fictif de démonstration porté par Gret sur Rkiz, Boghé. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P028;Appui à l’entrepreneuriat des jeunes – Ranérou;gret;;dev_eco;1 8;termine;2020;2022;SN-RANEROU;SN-RANEROU:2500;Agence régionale de développement de Matam | Commune de Ranérou;Coopération décentralisée C | Agence de l’eau D;480000;Projet fictif de démonstration porté par Gret sur Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
