code;nom;code_region;region;pays
GN-DALABA;Dalaba;GN-MAMOU;Mamou;Guinée
GN-KANKAN;Kankan;GN-KANKAN;Kankan;Guinée
GN-KEROUANE;Kérouané;GN-KANKAN;Kankan;Guinée
GN-KOUBIA;Koubia;GN-LABE;Labé;Guinée
GN-KOUROUSSA;Kouroussa;GN-KANKAN;Kankan;Guinée
GN-LABE;Labé;GN-LABE;Labé;Guinée
GN-LELOUMA;Lélouma;GN-LABE;Labé;Guinée
GN-MALI;Mali;GN-LABE;Labé;Guinée
GN-MAMOU;Mamou;GN-MAMOU;Mamou;Guinée
GN-MANDIANA;Mandiana;GN-KANKAN;Kankan;Guinée
GN-PITA;Pita;GN-MAMOU;Mamou;Guinée
GN-SIGUIRI;Siguiri;GN-KANKAN;Kankan;Guinée
GN-TOUGUE;Tougué;GN-LABE;Labé;Guinée
ML-BAFOULABE;Bafoulabé;ML-KAYES;Kayes;Mali
ML-BANAMBA;Banamba;ML-KOULIKORO;Koulikoro;Mali
ML-DIEMA;Diéma;ML-KAYES;Kayes;Mali
ML-DIOILA;Dioila;ML-KOULIKORO;Koulikoro;Mali
ML-KANGABA;Kangaba;ML-KOULIKORO;Koulikoro;Mali
ML-KATI;Kati;ML-KOULIKORO;Koulikoro;Mali
ML-KAYES;Kayes;ML-KAYES;Kayes;Mali
ML-KENIEBA;Kéniéba;ML-KAYES;Kayes;Mali
ML-KITA;Kita;ML-KAYES;Kayes;Mali
ML-KOLOKANI;Kolokani;ML-KOULIKORO;Koulikoro;Mali
ML-KOULIKORO;Koulikoro;ML-KOULIKORO;Koulikoro;Mali
ML-NARA;Nara;ML-KOULIKORO;Koulikoro;Mali
ML-NIORO;Nioro;ML-KAYES;Kayes;Mali
ML-YELIMANE;Yélimané;ML-KAYES;Kayes;Mali
MR-ALEG;Aleg;MR-BRAKNA;Brakna;Mauritanie
MR-BABABE;Bababé;MR-BRAKNA;Brakna;Mauritanie
MR-BARKEOL;Barkéol;MR-ASSABA;Assaba;Mauritanie
MR-BOGHE;Boghé;MR-BRAKNA;Brakna;Mauritanie
MR-BOUMDEID;Boumdeid;MR-ASSABA;Assaba;Mauritanie
MR-BOUTILIMIT;Boutilimit;MR-TRARZA;Trarza;Mauritanie
MR-GHABOU;Ghabou;MR-GUIDIMAKHA;Guidimakha;Mauritanie
MR-GUEROU;Guérou;MR-ASSABA;Assaba;Mauritanie
MR-KAEDI;Kaédi;MR-GORGOL;Gorgol;Mauritanie
MR-KANKOSSA;Kankossa;MR-ASSABA;Assaba;Mauritanie
MR-KEUR-MACENE;Keur Macène;MR-TRARZA;Trarza;Mauritanie
MR-KIFFA;Kiffa;MR-ASSABA;Assaba;Mauritanie
MR-MAGHAMA;Maghama;MR-GORGOL;Gorgol;Mauritanie
MR-MAGTA-LAHJAR;Magta-Lahjar;MR-BRAKNA;Brakna;Mauritanie
MR-MBAGNE;Mbagne;MR-BRAKNA;Brakna;Mauritanie
MR-MBOUT;Mbout;MR-GORGOL;Gorgol;Mauritanie
MR-MEDERDRA;Méderdra;MR-TRARZA;Trarza;Mauritanie
MR-MONGUEL;Monguel;MR-GORGOL;Gorgol;Mauritanie
MR-OUAD-NAGA;Ouad Naga;MR-TRARZA;Trarza;Mauritanie
MR-OULD-YENGE;Ould Yengé;MR-GUIDIMAKHA;Guidimakha;Mauritanie
MR-RKIZ;Rkiz;MR-TRARZA;Trarza;Mauritanie
MR-ROSSO;Rosso;MR-TRARZA;Trarza;Mauritanie
MR-SELIBABY;Sélibaby;MR-GUIDIMAKHA;Guidimakha;Mauritanie
SN-BAKEL;Bakel;SN-TAMBACOUNDA;Tambacounda;Sénégal
SN-DAGANA;Dagana;SN-SAINT-LOUIS;Saint-Louis;Sénégal
SN-GOUDIRY;Goudiry;SN-TAMBACOUNDA;Tambacounda;Sénégal
SN-KANEL;Kanel;SN-MATAM;Matam;Sénégal
SN-KEBEMER;Kébémer;SN-LOUGA;Louga;Sénégal
SN-KEDOUGOU;Kédougou;SN-KEDOUGOU;Kédougou;Sénégal
SN-KOUMPENTOUM;Koumpentoum;SN-TAMBACOUNDA;Tambacounda;Sénégal
SN-LINGUERE;Linguère;SN-LOUGA;Louga;Sénégal
SN-LOUGA;Louga;SN-LOUGA;Louga;Sénégal
SN-MATAM;Matam;SN-MATAM;Matam;Sénégal
SN-PODOR;Podor;SN-SAINT-LOUIS;Saint-Louis;Sénégal
SN-RANEROU;Ranérou;SN-MATAM;Matam;Sénégal
SN-SAINT-LOUIS;Saint-Louis;SN-SAINT-LOUIS;Saint-Louis;Sénégal
SN-SALEMATA;Salemata;SN-KEDOUGOU;Kédougou;Sénégal
SN-SARAYA;Saraya;SN-KEDOUGOU;Kédougou;Sénégal
SN-TAMBACOUNDA;Tambacounda;SN-TAMBACOUNDA;Tambacounda;Sénégal
